jobs,max_workers,max_backlog,peak mem (MB)
100,50,1,0.30517
1000,50,1,0.311349
10000,50,1,1.565243
100000,50,1,14.556611
100,500,1,1.102841
1000,500,1,1.38556
10000,500,1,2.703336
100000,500,1,15.117152
100,5000,1,10.55834
1000,5000,1,10.215608
10000,5000,1,11.881091
100000,5000,1,24.224932
100,50000,1,101.610932
1000,50000,1,99.68928
10000,50000,1,103.175664
100000,50000,1,117.269716
100,50,10,0.521248
1000,50,10,0.510728
10000,50,10,1.53206
100000,50,10,14.546093
100,500,10,1.05368
1000,500,10,1.226972
10000,500,10,2.638224
100000,500,10,15.113976
100,5000,10,10.040256
1000,5000,10,10.220324
10000,5000,10,12.414192
100000,5000,10,24.261556
100,50000,10,99.565922
1000,50000,10,99.722515
10000,50000,10,105.330896
100000,50000,10,120.866146
100,50,100,0.563519
1000,50,100,0.559399
10000,50,100,1.545404
100000,50,100,14.526669
100,500,100,1.044003
1000,500,100,1.403484
10000,500,100,2.568209
100000,500,100,15.121841
100,5000,100,10.040672
1000,5000,100,10.21371
10000,5000,100,12.426012
100000,5000,100,24.255603
100,50000,100,99.558811
1000,50000,100,99.738198
10000,50000,100,101.12905
100000,50000,100,120.86581
100,50,1000,0.562992
1000,50,1000,0.556877
10000,50,1000,1.53965
100000,50,1000,14.537186
100,500,1000,1.046163
1000,500,1000,1.23937
10000,500,1000,2.610801
100000,500,1000,15.135106
100,5000,1000,10.040784
1000,5000,1000,10.190269
10000,5000,1000,11.595816
100000,5000,1000,24.259966
100,50000,1000,99.563234
1000,50000,1000,99.732838
10000,50000,1000,101.119591
100000,50000,1000,115.203715
100,50,1,0.442144
1000,50,1,0.44183
10000,50,1,0.516704
100000,50,1,1.251272
100,500,1,0.932273
1000,500,1,1.058973
10000,500,1,1.127213
100000,500,1,1.862245
100,5000,1,9.895789
1000,5000,1,10.084337
10000,5000,1,11.256673
100000,5000,1,12.088601
100,50000,1,99.460421
1000,50000,1,99.603345
10000,50000,1,101.460009
100000,50000,1,112.534745
100,50,10,0.080679
1000,50,10,0.080363
10000,50,10,0.159587
100000,50,10,0.896795
100,500,10,0.944609
1000,500,10,1.026909
10000,500,10,1.185989
100000,500,10,1.912141
100,5000,10,9.932997
1000,5000,10,10.019633
10000,5000,10,10.800057
100000,5000,10,12.266009
100,50000,10,99.464021
1000,50000,10,99.533313
10000,50000,10,100.346513
100000,50000,10,104.732601
100,50,100,0.101975
1000,50,100,0.106107
10000,50,100,0.176235
100000,50,100,0.913067
100,500,100,1.054065
1000,500,100,1.308013
10000,500,100,1.437533
100000,500,100,2.174373
100,5000,100,10.111285
1000,5000,100,10.450217
10000,5000,100,11.739233
100000,5000,100,12.412521
100,50000,100,99.630957
1000,50000,100,99.989889
10000,50000,100,102.861561
100000,50000,100,115.765033
100,50,1000,0.126591
1000,50,1000,0.166743
10000,50,1000,0.236743
100000,50,1000,0.977135
100,500,1000,0.779141
1000,500,1000,1.711585
10000,500,1000,1.872381
100000,500,1000,2.627413
100,5000,1000,8.885177
1000,5000,1000,11.697573
10000,5000,1000,14.313837
100000,5000,1000,15.255845
100,50000,1000,98.432905
1000,50000,1000,101.237917
10000,50000,1000,105.409493
100000,50000,1000,118.452421
